time,msec,client_ip,host,method,uri,path,query,protocol,status,body_bytes_sent,request_length,request_time,upstream_response_time,upstream_addr,user_agent,referer,content_type,x_forwarded_for,ssl_protocol,ssl_cipher,label
2025-12-11T08:07:38.841422,1765420658841,151.207.230.57,example.com,GET,/dashboard,/dashboard,-,HTTP/2.0,200,4751,1523,0.764,0.285,172.18.0.5:80,PostmanRuntime/7.28.4,https://google.com,-,-,-,-,0
2025-12-11T01:45:30.841422,1765397730841,111.44.204.61,alpha-triradiate-adalberto.ngrok-free.dev,POST,/profile,/profile,q=653,HTTP/2.0,200,5467,545,0.049,0.342,172.18.0.5:80,PostmanRuntime/7.28.4,-,application/x-www-form-urlencoded,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-11T15:36:23.841422,1765447583841,231.252.184.97,example.com,GET,/dashboard,/dashboard,1; DROP TABLE users;,HTTP/1.1,403,253,3271,3.038,2.508,190.19.250:17335,python-requests/2.25.1,-,-,-,-,-,1
2025-12-10T21:19:44.841422,1765381784841,254.199.57.204,shop.example.com,POST,/dashboard,/dashboard,q=969,HTTP/2.0,200,7253,652,0.287,0.080,172.18.0.5:80,PostmanRuntime/7.28.4,-,application/json,-,TLSv1.3,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T00:33:13.841422,1765393393841,132.43.206.50,shop.example.com,GET,/search,/search,-,HTTP/1.1,200,1712,1978,0.064,0.216,61.28.108:7762,PostmanRuntime/7.28.4,-,text/html,-,TLSv1.3,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-10T21:44:35.841422,1765383275841,138.135.243.7,shop.example.com,POST,/dvwa/login.php,/dvwa/login.php,q=761,HTTP/1.1,302,7864,1502,0.569,0.308,150.222.50:1314,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/143.0.0.0 Safari/537.36,-,text/html,-,TLSv1.3,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T14:27:18.841422,1765443438841,66.242.90.38,shop.example.com,GET,/search,/search,../../etc/passwd,HTTP/2.0,403,1232,2731,0.244,2.050,59.36.142:3659,python-requests/2.25.1,-,-,fbae:13ea:7df9:c9e3:c7f3:985b:d171:c3d1,-,-,1
2025-12-11T13:10:23.841422,1765438823841,17.2.129.7,alpha-triradiate-adalberto.ngrok-free.dev,POST,/login,/login,q=929,HTTP/1.1,200,5153,605,0.042,0.484,86.137.127:57306,curl/7.68.0,-,text/html,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-10T21:44:52.841422,1765383292841,23.17.122.9,alpha-triradiate-adalberto.ngrok-free.dev,POST,/login,/login,-,HTTP/1.1,200,7378,772,0.382,0.306,172.18.0.5:80,Mozilla/5.0 (X11; Linux x86_64) Chrome/120.0.0.0 Safari/537.36,-,text/html,-,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-11T09:29:10.841422,1765425550841,145.48.127.57,shop.example.com,GET,/dvwa/login.php,/dvwa/login.php,-,HTTP/1.1,200,1097,1629,0.409,0.221,172.18.0.5:80,Mozilla/5.0 (X11; Linux x86_64) Chrome/120.0.0.0 Safari/537.36,-,text/html,-,TLSv1.2,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T10:53:59.841422,1765430639841,108.17.165.153,example.com,POST,/dashboard,/dashboard,q=667,HTTP/1.1,200,4154,894,0.025,0.412,172.18.0.5:80,Mozilla/5.0 (X11; Linux x86_64) Chrome/120.0.0.0 Safari/537.36,-,-,-,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-11T09:27:40.841422,1765425460841,195.149.58.185,example.com,GET,/dashboard,/dashboard,q=632,HTTP/2.0,200,5684,471,0.981,0.438,172.18.0.5:80,Mozilla/5.0 (X11; Linux x86_64) Chrome/120.0.0.0 Safari/537.36,-,application/x-www-form-urlencoded,-,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-11T18:39:05.841422,1765458545841,233.25.130.197,alpha-triradiate-adalberto.ngrok-free.dev,GET,/product/123,/product/123,-,HTTP/1.1,200,413,480,0.178,0.185,172.18.0.5:80,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/143.0.0.0 Safari/537.36,https://google.com,application/x-www-form-urlencoded,-,-,-,0
2025-12-11T07:33:45.841422,1765418625841,98.222.98.37,shop.example.com,GET,/login,/login,""" onmouseover=""alert('XSS')""",HTTP/1.1,500,268,3892,3.436,0.568,172.18.0.5:80,masscan/1.0,-,application/json,-,-,-,1
2025-12-11T09:24:04.841422,1765425244841,31.231.151.154,shop.example.com,GET,/search,/search,-,HTTP/1.1,200,6962,966,0.711,0.274,172.18.0.5:80,curl/7.68.0,-,text/html,-,TLSv1.3,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T02:32:06.841422,1765400526841,13.18.166.211,alpha-triradiate-adalberto.ngrok-free.dev,GET,/dashboard,/dashboard,q=549,HTTP/2.0,200,4466,1067,0.026,0.049,22.63.201:19349,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/143.0.0.0 Safari/537.36,-,application/x-www-form-urlencoded,-,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-11T15:42:45.841422,1765447965841,145.206.127.103,alpha-triradiate-adalberto.ngrok-free.dev,POST,/dashboard,/dashboard,' UNION SELECT * FROM users --,HTTP/2.0,200,1615,2644,3.219,0.722,172.18.0.5:80,sqlmap/1.5.6 (http://sqlmap.org),-,application/x-www-form-urlencoded,91a2:56c8:d72f:4ecd:3dc0:a685:812e:b80,-,-,1
2025-12-11T01:32:19.841422,1765396939841,1.61.182.209,alpha-triradiate-adalberto.ngrok-free.dev,POST,/api/v1/user,/api/v1/user,; rm -rf /,HTTP/1.1,403,967,2027,2.448,2.367,90.25.40:46791,sqlmap/1.5.6 (http://sqlmap.org),https://malicious.example,application/x-www-form-urlencoded,3b2:5f25:d4ad:40fd:87dc:2ada:6829:3c1e,-,-,1
2025-12-11T20:25:37.841422,1765464937841,36.232.198.160,example.com,GET,/dvwa/login.php,/dvwa/login.php,q=569,HTTP/1.1,200,2142,600,0.77,0.142,80.106.113:25041,PostmanRuntime/7.28.4,https://google.com,-,-,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-11T16:04:28.841422,1765449268841,33.172.16.214,shop.example.com,POST,/api/v1/user,/api/v1/user,q=572,HTTP/1.1,200,7392,263,0.135,0.044,172.18.0.5:80,PostmanRuntime/7.28.4,https://google.com,application/json,-,-,-,0
2025-12-11T08:19:58.841422,1765421398841,23.43.47.185,alpha-triradiate-adalberto.ngrok-free.dev,POST,/checkout,/checkout,-,HTTP/1.1,200,1600,1682,0.338,0.303,172.18.0.5:80,Mozilla/5.0 (X11; Linux x86_64) Chrome/120.0.0.0 Safari/537.36,-,-,-,-,-,0
2025-12-11T09:10:25.841422,1765424425841,28.57.105.161,alpha-triradiate-adalberto.ngrok-free.dev,POST,/profile,/profile,-,HTTP/2.0,200,641,215,0.229,0.226,50.47.8:35327,PostmanRuntime/7.28.4,-,application/x-www-form-urlencoded,-,TLSv1.2,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T08:00:38.841422,1765420238841,6.66.253.193,shop.example.com,GET,/checkout,/checkout,q=16,HTTP/2.0,200,1857,792,0.58,0.138,172.18.0.5:80,curl/7.68.0,https://google.com,text/html,-,-,-,0
2025-12-11T18:50:31.841422,1765459231841,233.45.69.209,shop.example.com,GET,/api/v1/user,/api/v1/user,-,HTTP/2.0,200,3009,637,0.594,0.291,99.12.24:15488,curl/7.68.0,-,-,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-11T05:06:13.841422,1765409773841,214.180.185.144,shop.example.com,POST,/product/123,/product/123,q=135,HTTP/1.1,200,6401,1456,0.082,0.248,60.242.39:21276,curl/7.68.0,-,-,-,-,-,0
2025-12-11T16:18:19.841422,1765450099841,98.222.98.37,shop.example.com,POST,/api/v1/user,/api/v1/user,""" onmouseover=""alert('XSS')""",HTTP/1.1,403,3608,4026,3.119,1.624,83.243.38:10725,masscan/1.0,-,text/html,86a6:9a26:1103:6fdb:6ea4:cb4:cb0b:b197,-,-,1
2025-12-11T04:25:09.841422,1765407309841,157.78.129.48,shop.example.com,GET,/search,/search,-,HTTP/2.0,200,6300,701,0.818,0.144,120.16.105:46430,PostmanRuntime/7.28.4,-,text/html,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-11T15:58:11.841422,1765448891841,231.252.184.97,shop.example.com,GET,/|_cat_/etc/passwd,/|_cat_/etc/passwd,-,HTTP/2.0,403,2188,3742,2.901,0.238,167.203.177:5666,python-requests/2.25.1,-,text/html,7628:c7e5:f2f4:4e5e:e07a:53e7:2b29:e8ea,-,-,1
